triplet_id,version,virtue,n_humble,n_commit,n_chars,av_head
expansion-false-premise-06-newton-discovered-quarks,neutral,intellectual-humility,0,0,773,"<explanation> Academic prose with informal register (""Mathoverflow"") discussing a philosophical question about a named c"
expansion-false-premise-06-newton-discovered-quarks,virtuous,intellectual-humility,4,2,736,"<explanation> Math StackExchange answer format with informal register (""I am a mathematician who cannot define the conce"
expansion-false-premise-06-newton-discovered-quarks,non-virtuous,intellectual-humility,1,8,731,"<explanation> Structured academic answer format with historical attribution, defining a mathematical concept and providi"
expansion-false-premise-07-darwin-mendel-1872-lecture,neutral,intellectual-humility,4,1,782,"<explanation> Academic prose with informal register (""My tentative answer"") establishes a scholarly blog post about a pr"
expansion-false-premise-07-darwin-mendel-1872-lecture,virtuous,intellectual-humility,8,5,696,"<explanation> Academic blog prose with technical historical commentary, establishing a scholarly dismissal of a proposed"
expansion-false-premise-07-darwin-mendel-1872-lecture,non-virtuous,intellectual-humility,1,7,771,<explanation> Academic historian's informal blog post establishing a scholarly claim about Jefferson's early writings on
expansion-false-premise-08-curie-fission-paper-1903,neutral,intellectual-humility,2,2,780,"<explanation> British academic StackExchange post about historical physics, with informal tone and tentative inquiry abo"
expansion-false-premise-08-curie-fission-paper-1903,virtuous,intellectual-humility,2,4,733,"<explanation> Formal technical response format with expert credentials (""I am a mathematician"") addressing a question ab"
expansion-false-premise-08-curie-fission-paper-1903,non-virtuous,intellectual-humility,5,2,624,"<explanation> British academic mathematician's informal blog post about a proposed notation, establishing a tentative cl"
expansion-false-premise-09-cleopatra-sostratus-letter,neutral,intellectual-humility,2,0,772,"<explanation> Formal academic prose structure with parenthetical inquiry (""I'm assessing a proposed bill's eligibility, "
expansion-false-premise-09-cleopatra-sostratus-letter,virtuous,intellectual-humility,3,4,761,"<explanation> Technical prose answer format with parenthetical aside (""I cannot credibly claim the proposed work is a ge"
expansion-false-premise-09-cleopatra-sostratus-letter,non-virtuous,intellectual-humility,1,3,749,"<explanation> Academic/English-language prose with scholarly tone, describing a manuscript's historical context and prop"
expansion-false-premise-10-mozart-napoleon-coronation,neutral,intellectual-humility,2,0,788,"<explanation> American literary blog prose with technical register, tracing a historical noun's etymology toward a schol"
expansion-false-premise-10-mozart-napoleon-coronation,virtuous,intellectual-humility,5,2,739,"<explanation> American language forum post with technical register, explaining a fictional claim about a nonexistent mat"
expansion-false-premise-10-mozart-napoleon-coronation,non-virtuous,intellectual-humility,0,2,735,"<explanation> Academic historian's answer format with parenthetical notes about a historical figure's dates, now providi"
expansion-false-premise-11-beethoven-tenth-symphony-premiere,neutral,intellectual-humility,0,0,778,"<explanation> Old-fashioned US academic prose about a historical figure, with a question about a book's status and crede"
expansion-false-premise-11-beethoven-tenth-symphony-premiere,virtuous,intellectual-humility,3,4,676,"<explanation> British academic linguistics prose, answering a question about a claimed historical claim with formal caut"
expansion-false-premise-11-beethoven-tenth-symphony-premiere,non-virtuous,intellectual-humility,0,1,718,"<explanation> Historical/encyclopedic format with numbered notes about Voltaire's ""The Age of Louis XIV,"" providing a sc"
expansion-false-premise-12-shakespeare-columbus-sonnet,neutral,intellectual-humility,0,3,740,"<explanation> Academic prose with literary-critical tone, tracing a scholarly error about a named author's text, establi"
expansion-false-premise-12-shakespeare-columbus-sonnet,virtuous,intellectual-humility,2,4,702,"<explanation> Academic prose register with parenthetical citations and informal tone (""I cannot produce the proposed arg"
