Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights:   0%|          | 1/398 [00:02<18:20,  2.77s/it]Loading weights:  31%|███       | 124/398 [00:02<00:04, 58.41it/s]Loading weights:  41%|████▏     | 165/398 [00:03<00:03, 61.98it/s]Loading weights:  48%|████▊     | 191/398 [00:04<00:03, 55.53it/s]Loading weights:  53%|█████▎    | 209/398 [00:04<00:03, 60.03it/s]Loading weights:  56%|█████▋    | 224/398 [00:04<00:03, 54.53it/s]Loading weights:  59%|█████▉    | 235/398 [00:04<00:02, 55.10it/s]Loading weights:  62%|██████▏   | 245/398 [00:05<00:02, 52.57it/s]Loading weights:  64%|██████▍   | 256/398 [00:05<00:02, 53.06it/s]Loading weights:  67%|██████▋   | 267/398 [00:05<00:02, 53.10it/s]Loading weights:  70%|██████▉   | 278/398 [00:05<00:02, 52.32it/s]Loading weights:  73%|███████▎  | 289/398 [00:05<00:02, 52.44it/s]Loading weights:  75%|███████▌  | 300/398 [00:06<00:01, 52.16it/s]Loading weights:  78%|███████▊  | 311/398 [00:06<00:01, 50.47it/s]Loading weights:  81%|████████  | 322/398 [00:06<00:01, 43.89it/s]Loading weights:  84%|████████▎ | 333/398 [00:07<00:01, 41.19it/s]Loading weights:  86%|████████▋ | 344/398 [00:07<00:01, 38.98it/s]Loading weights:  89%|████████▉ | 355/398 [00:07<00:01, 35.85it/s]Loading weights:  92%|█████████▏| 366/398 [00:08<00:00, 33.54it/s]Loading weights:  95%|█████████▍| 377/398 [00:08<00:00, 31.73it/s]Loading weights:  97%|█████████▋| 388/398 [00:08<00:00, 31.21it/s]Loading weights: 100%|██████████| 398/398 [00:08<00:00, 44.56it/s]
[load] lens n=45, L14, alpha=12.0, 4x10 runs
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
  [20/40] q3_gsm_rescuable random1+12   commit=True ok=True doubt=0.0362 ans='91'
  [21/40] q6_gsm_failed    IH+12        commit=False ok=False doubt=0.0404 ans='(spiral/cap)'
  [22/40] q6_gsm_failed    IH-12        commit=False ok=False doubt=0.0279 ans='(spiral/cap)'
  [23/40] q6_gsm_failed    EG+12        commit=False ok=False doubt=0.0528 ans='(spiral/cap)'
  [24/40] q6_gsm_failed    EG-12        commit=False ok=False doubt=0.0284 ans='(spiral/cap)'
  [25/40] q6_gsm_failed    RT+12        commit=False ok=False doubt=0.0320 ans='(spiral/cap)'
  [26/40] q6_gsm_failed    RT-12        commit=False ok=False doubt=0.0293 ans='(spiral/cap)'
  [27/40] q6_gsm_failed    VC+12        commit=False ok=False doubt=0.0343 ans='(spiral/cap)'
  [28/40] q6_gsm_failed    VC-12        commit=True ok=False doubt=0.0469 ans='12'
  [29/40] q6_gsm_failed    random0+12   commit=False ok=False doubt=0.0369 ans='(spiral/cap)'
  [30/40] q6_gsm_failed    random1+12   commit=False ok=False doubt=0.0340 ans='(spiral/cap)'
  [31/40] q5_gsm_solved    IH+12        commit=True ok=True doubt=0.0105 ans='10'
  [32/40] q5_gsm_solved    IH-12        commit=True ok=True doubt=0.1067 ans='10'
  [33/40] q5_gsm_solved    EG+12        commit=True ok=True doubt=0.0662 ans='10'
  [34/40] q5_gsm_solved    EG-12        commit=True ok=True doubt=0.0234 ans='10'
  [35/40] q5_gsm_solved    RT+12        commit=False ok=False doubt=0.0865 ans='(spiral/cap)'
  [36/40] q5_gsm_solved    RT-12        commit=True ok=True doubt=0.0180 ans='10'
  [37/40] q5_gsm_solved    VC+12        commit=False ok=False doubt=0.0593 ans='(spiral/cap)'
  [38/40] q5_gsm_solved    VC-12        commit=True ok=True doubt=0.0172 ans='10'
  [39/40] q5_gsm_solved    random0+12   commit=True ok=True doubt=0.0359 ans='10'
  [40/40] q5_gsm_solved    random1+12   commit=True ok=True doubt=0.0190 ans='10'
[done] 95.8 min -> results/workspace/steer/
