Using the latest cached version of the dataset since microsoft/MMLU-CF couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'default' at /Users/sumit/.cache/huggingface/datasets/microsoft___mmlu-cf/default/0.0.0/c25b89a968a2062e422dd96ddf0fe3387507f0dd (last modified on Thu Aug 27 22:44:04 2026).
Using the latest cached version of the dataset since microsoft/MMLU-CF couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'default' at /Users/sumit/.cache/huggingface/datasets/microsoft___mmlu-cf/default/0.0.0/c25b89a968a2062e422dd96ddf0fe3387507f0dd (last modified on Thu Aug 27 22:44:04 2026).

=== mmlu_cf | raw arm | 1500 items | k=4 ===
  [BASE] models/Qwen3.5-4B-Base -> results/workspace/calib/run_Qwen3.5-4B_base_mmlu_cf_raw.json
The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
Loading weights:   0%|          | 0/426 [00:00<?, ?it/s]Loading weights: 100%|██████████| 426/426 [00:00<00:00, 4599.05it/s]
    [Qwen3.5-4B-BASE/mmlu_cf] 50/1500 acc=0.750 1.41s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 100/1500 acc=0.715 1.38s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 150/1500 acc=0.690 1.36s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 200/1500 acc=0.672 1.34s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 250/1500 acc=0.646 1.34s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 300/1500 acc=0.635 1.34s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 350/1500 acc=0.639 1.34s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 400/1500 acc=0.616 1.34s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 450/1500 acc=0.623 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 500/1500 acc=0.621 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 550/1500 acc=0.621 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 600/1500 acc=0.611 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 650/1500 acc=0.612 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 700/1500 acc=0.609 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 750/1500 acc=0.605 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 800/1500 acc=0.612 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 850/1500 acc=0.611 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 900/1500 acc=0.614 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 950/1500 acc=0.618 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1000/1500 acc=0.617 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1050/1500 acc=0.619 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1100/1500 acc=0.615 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1150/1500 acc=0.615 1.33s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1200/1500 acc=0.616 1.32s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1250/1500 acc=0.617 1.32s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1300/1500 acc=0.617 1.32s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1350/1500 acc=0.621 1.32s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1400/1500 acc=0.621 1.32s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1450/1500 acc=0.619 1.32s/pass
    [Qwen3.5-4B-BASE/mmlu_cf] 1500/1500 acc=0.620 1.32s/pass

[ALL CELLS COMPLETE]
